Timestamp,What is the type of your institute? ,What describes your degree program more accurately?,Did you register for an online degree/educational program?,Are you a part-time student? ,To which gender identity do you most identify?   ,Who is your primary Internet Service Provider (ISP) to connect to the learning Platforms?,What is your internet connection type?,According to your assessment do you think you have a stable connection? ,How do you rate the quality of your internet connection?,Did you able to participate in academic sessions in person (May be before pandemic)?  ,My learning experience got improved compared to the time I had to physically participate in the lectures. ,"My time management got improved, where now I can spend more time on additional reading.","If I have a more reliable and quality internet connection, my learning experience will increase significantly.",I believe my learning experience will improve if I can physically attend my lectures. ,I believe I will be able to manage time more efficiently where I can spend more time on additional reading if I can physically attend my lectures.,"If I have a more reliable and quality internet connection, my learning experience will increase significantly.",is,is_c
2021/10/04 5:47:01 PM GMT+5:30,Government University,Computer science,No,No,Male,SLT,Fiber (eg: SLT Fiber),Maybe,4,Yes,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
2021/10/04 7:10:46 PM GMT+5:30,Government University,Engineering and technology,No,No,Male,SLT,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,3,Yes,Strongly disagree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree
2021/10/04 9:56:59 PM GMT+5:30,Government University,Computer science,No,No,Male,Dialog,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Maybe,3,Yes,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree
2021/10/07 12:09:51 AM GMT+5:30,Government University,Computer science,No,No,Male,Dialog,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Maybe,3,Yes,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree
2021/11/12 11:18:18 PM GMT+5:30,Government University,Business Administration ,No,No,Female,SLT,Cable/DSL/ADSL (eg: Connecting to internet through your land line),Yes,4,No,,,,Agree,Neutral,Agree,Agree,Agree
2021/11/13 12:34:13 PM GMT+5:30,Privet University,Computer science,No,No,Male,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Disagree,Disagree,Agree,,,,Agree,Agree
2021/11/13 12:40:12 PM GMT+5:30,Privet University,Computer science,No,Yes,Male,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Agree,Strongly agree,Strongly agree,,,,Strongly agree,Agree
2021/11/13 1:01:30 PM GMT+5:30,Government University,Physics,No,No,Female,Mobitel,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Yes,4,Yes,Agree,Agree,Agree,,,,Agree,Agree
2021/11/13 1:09:12 PM GMT+5:30,Government University,Computer science,No,No,Female,SLT,Cable/DSL/ADSL (eg: Connecting to internet through your land line),Maybe,3,Yes,Disagree,Agree,Agree,,,,Agree,Agree
2021/11/13 2:01:11 PM GMT+5:30,Private  University,Engineering and technology,Yes,Yes,Male,Mobitel,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Yes,5,Yes,Agree,Agree,Neutral,,,,Neutral,Neutral
2021/11/13 2:17:45 PM GMT+5:30,Government University/educational institute,Engineering and technology,No,No,Male,SLT,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Yes,4,Yes,Neutral,Neutral,Neutral,,,,Neutral,Neutral
2021/11/13 10:51:28 PM GMT+5:30,Government University/educational institute,Computer science,No,No,Male,SLT,Cable/DSL/ADSL (eg: Connecting to internet through your land line),Maybe,3,Yes,Agree,Neutral,Agree,,,,Agree,Agree
2021/11/14 10:45:34 AM GMT+5:30,Government University/educational institute,Engineering and technology,Yes,No,Male,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Neutral,Agree,Agree,,,,Agree,Agree
2021/11/14 2:18:21 PM GMT+5:30,Government University/educational institute,Management ,Yes,Yes,Female,Mobitel,"Mobile (eg: Mobitel, Dialog mobile connections)",Yes,4,Yes,Agree,Neutral,Agree,,,,Agree,Agree
2021/11/14 4:39:54 PM GMT+5:30,Government University/educational institute,Engineering and technology,No,No,Male,Dialog,"Mobile (eg: Mobitel, Dialog mobile connections)",No,2,No,,,,Strongly agree,Strongly agree,Neutral,Neutral,Neutral
2021/11/14 4:48:39 PM GMT+5:30,Private  University/educational institute,AAT,No,Yes,Male,Airtel,"Mobile (eg: Mobitel, Dialog mobile connections)",Maybe,3,Yes,Neutral,Neutral,Neutral,,,,Neutral,Neutral
2021/11/14 4:48:43 PM GMT+5:30,Government University/educational institute,Engineering and technology,Yes,Yes,Male,Dialog,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,1,No,,,,Disagree,Disagree,Disagree,Disagree,Disagree
2021/11/14 4:56:53 PM GMT+5:30,Government University/educational institute,Computer science,Yes,No,Male,Hutch/ Etisalat,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Yes,3,Yes,Disagree,Neutral,Disagree,,,,Disagree,Disagree
2021/11/14 5:07:55 PM GMT+5:30,Government University/educational institute,Engineering and technology,Yes,No,Male,Airtel,"Mobile (eg: Mobitel, Dialog mobile connections)",Maybe,5,No,,,,Strongly agree,Strongly agree,Agree,Agree,Agree
2021/11/14 5:37:26 PM GMT+5:30,Government University/educational institute,Engineering and technology,Yes,No,Male,Mobitel,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Maybe,3,Yes,Neutral,Neutral,Neutral,,,,Neutral,Neutral
2021/11/14 7:10:57 PM GMT+5:30,Government University/educational institute,Computer science,No,No,Male,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Neutral,Agree,Agree,,,,Agree,Agree
2021/11/14 9:38:17 PM GMT+5:30,Government University/educational institute,Computer science,No,No,Female,Dialog,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,3,Yes,Strongly agree,Agree,Neutral,,,,Neutral,Neutral
2021/11/15 11:48:09 AM GMT+5:30,Semi government University/educational institute,Computer science,No,No,Female,Dialog,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,3,Yes,Neutral,Disagree,Neutral,,,,Neutral,Neutral
2021/11/16 7:05:35 AM GMT+5:30,Private  University/educational institute,Languages and literature,No,Yes,Female,Airtel,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,4,Yes,Strongly disagree,Neutral,Disagree,,,,Disagree,Disagree
2021/11/16 7:12:14 AM GMT+5:30,Private  University/educational institute,Psychology,No,Yes,Female,Dialog,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,2,No,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
2021/11/16 11:04:59 PM GMT+5:30,Government University/educational institute,History,Yes,Yes,Female,SLT,Fiber (eg: SLT Fiber),Maybe,4,Yes,Disagree,Agree,Strongly agree,,,,Strongly agree,Agree
2021/11/17 1:48:59 PM GMT+5:30,Government University/educational institute,Computer science,No,No,Female,Mobitel,Cable/DSL/ADSL (eg: Connecting to internet through your land line),Yes,5,Yes,Neutral,Neutral,Agree,,,,Agree,Agree
2021/11/17 1:54:29 PM GMT+5:30,Government University/educational institute,Computer science,Yes,No,Female,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Disagree,Disagree,Neutral,,,,Neutral,Neutral
2021/11/17 1:54:39 PM GMT+5:30,Government University/educational institute,Biology,Yes,No,Female,Dialog,"Mobile (eg: Mobitel, Dialog mobile connections)",Maybe,4,No,,,,Strongly agree,Neutral,Agree,Agree,Agree
2021/11/17 9:04:39 PM GMT+5:30,Government University/educational institute,Engineering and technology,Yes,No,Male,Mobitel,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",Yes,3,Yes,Disagree,Disagree,Disagree,,,,Disagree,Disagree
2021/11/18 6:13:36 AM GMT+5:30,Government University/educational institute,Economics,Yes,Yes,Female,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Strongly disagree,Strongly agree,Agree,,,,Agree,Agree
2021/11/18 9:45:42 AM GMT+5:30,Private  University/educational institute,Business Administration ,No,Yes,Female,SLT,Fiber (eg: SLT Fiber),Yes,4,Yes,Agree,Strongly agree,Agree,,,,Agree,Agree
2021/11/23 8:13:25 PM GMT+5:30,Government University/educational institute,Law,Yes,Yes,Female,SLT,"4G/LTE (CDMA) (eg: SLT 4G, Dialog 4G)",No,2,Yes,Neutral,Agree,Strongly agree,,,,Strongly agree,Agree
